city,issue_date,target_date,lead_days,source,precip_mm,temp_max_c,temp_min_c,wind_speed_kmh,wind_dir_deg,pressure_hpa
Krakow,2026-09-07,2026-08-28,-10,archiwum_openmeteo,0.0,27.8,13.3,17.7,98,991.4
Krakow,2026-09-07,2026-08-29,-9,archiwum_openmeteo,6.8,23.1,15.2,18.4,254,989.1
Krakow,2026-09-07,2026-08-30,-8,archiwum_openmeteo,0.0,26.6,12.2,9.1,190,990.4
Krakow,2026-09-07,2026-08-31,-7,archiwum_openmeteo,1.0,28.7,15.0,8.8,228,989.2
Krakow,2026-09-07,2026-09-01,-6,archiwum_openmeteo,0.3,22.7,15.0,18.4,265,992.5
Krakow,2026-09-07,2026-09-02,-5,archiwum_openmeteo,0.0,23.6,12.5,11.2,256,994.4
Krakow,2026-09-07,2026-09-03,-4,archiwum_openmeteo,2.3,22.0,12.9,9.2,248,992.6
Krakow,2026-09-07,2026-09-04,-3,archiwum_openmeteo,0.1,24.9,16.4,24.7,250,988.0
Krakow,2026-09-07,2026-09-05,-2,archiwum_openmeteo,2.4,21.4,15.0,22.7,270,990.4
Krakow,2026-09-07,2026-09-07,0,prognoza,0.0,22.3,9.5,10.1,111,999.0
Krakow,2026-09-07,2026-09-08,1,prognoza,0.0,30.3,15.7,14.0,260,989.8
Krakow,2026-09-07,2026-09-09,2,prognoza,0.0,32.5,18.9,15.0,207,983.1
Krakow,2026-09-07,2026-09-10,3,prognoza,2.0,20.9,13.0,18.8,268,989.1
Krakow,2026-09-07,2026-09-11,4,prognoza,0.0,21.3,10.8,9.8,80,994.8
Krakow,2026-09-07,2026-09-12,5,prognoza,0.0,22.0,13.3,10.7,69,995.3
Krakow,2026-09-07,2026-09-13,6,prognoza,0.0,21.5,12.1,11.0,86,995.4
Warszawa,2026-09-07,2026-08-28,-10,archiwum_openmeteo,0.0,23.8,13.0,18.5,131,1006.2
Warszawa,2026-09-07,2026-08-29,-9,archiwum_openmeteo,5.2,21.9,15.7,16.0,206,999.7
